,degree_centrality,betweenness_centrality,closeness_centrality
france,0.1764705882352941,0.06031932773109242,0.31924882629107976
germany,0.1764705882352941,0.1250532212885154,0.3285024154589372
poland,0.11764705882352941,0.030625583566760033,0.29059829059829057
india,0.11764705882352941,0.005932773109243697,0.29437229437229434
pakistan,0.09803921568627451,0.0,0.2730923694779116
china,0.1764705882352941,0.11965826330532214,0.31481481481481477
japan,0.19607843137254902,0.123359477124183,0.32380952380952377
italy,0.0392156862745098,0.0,0.25757575757575757
solomon islands,0.0196078431372549,0.0,0.22006472491909385
estonia,0.0784313725490196,0.0,0.2222222222222222
lithuania,0.0784313725490196,0.0,0.2222222222222222
latvia,0.0784313725490196,0.0,0.2222222222222222
denmark,0.0196078431372549,0.0,0.17042606516290726
norway,0.0392156862745098,0.02588235294117647,0.22666666666666668
russia,0.1764705882352941,0.10939495798319325,0.35978835978835977
angola,0.058823529411764705,0.0,0.058823529411764705
mozambique,0.058823529411764705,0.0,0.058823529411764705
cambodia,0.0392156862745098,0.0,0.17302798982188294
laos,0.0392156862745098,0.0,0.17302798982188294
albania,0.09803921568627451,0.02588235294117647,0.2312925170068027
hungary,0.11764705882352941,0.014444444444444442,0.26053639846743293
romania,0.1764705882352941,0.08084780578898226,0.29437229437229434
algeria,0.0196078431372549,0.0,0.0196078431372549
morocco,0.0196078431372549,0.0,0.0196078431372549
cape verde,0.058823529411764705,0.0,0.058823529411764705
guinea,0.058823529411764705,0.0,0.058823529411764705
belarus,0.0196078431372549,0.0,0.0196078431372549
ukraine,0.0196078431372549,0.0,0.0196078431372549
australia,0.0392156862745098,0.000392156862745098,0.19373219373219375
canada,0.058823529411764705,0.01892810457516339,0.25757575757575757
finland,0.09803921568627451,0.020653594771241835,0.2518518518518518
philippines,0.0784313725490196,0.006169934640522876,0.22895622895622894
austria,0.058823529411764705,0.0018674136321195148,0.26666666666666666
belgium,0.0392156862745098,0.0,0.0392156862745098
luxembourg,0.0392156862745098,0.0,0.0392156862745098
vietnam,0.09803921568627451,0.05019607843137255,0.22895622895622894
egypt,0.0196078431372549,0.0,0.029411764705882353
libya,0.0392156862745098,0.001568627450980392,0.044117647058823525
cuba,0.058823529411764705,0.0,0.22442244224422442
israel,0.11764705882352941,0.02588235294117647,0.2764227642276422
mongolia,0.058823529411764705,0.0,0.22442244224422442
greece,0.0196078431372549,0.0,0.17302798982188294
bulgaria,0.0784313725490196,0.0,0.22895622895622894
netherlands,0.0392156862745098,0.0,0.0392156862745098
iran,0.0392156862745098,0.001568627450980392,0.044117647058823525
ghana,0.0196078431372549,0.0,0.0196078431372549
kenya,0.0196078431372549,0.0,0.0196078431372549
sweden,0.0196078431372549,0.0,0.2222222222222222
thailand,0.058823529411764705,0.0,0.22666666666666668
singapore,0.058823529411764705,0.0,0.22666666666666668
iraq,0.0196078431372549,0.0,0.029411764705882353
south africa,0.0196078431372549,0.0,0.19710144927536233
